track,artist,track,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
31,Brockhampton,0dWOFwdXrbBUYqD9DLsoyK,0.462,https://api.spotify.com/v1/audio-analysis/0dWOFwdXrbBUYqD9DLsoyK,0.595,273151,0.657,0dWOFwdXrbBUYqD9DLsoyK,0.000597,1,0.437,-6.498,0,0.183,156.093,4,https://api.spotify.com/v1/tracks/0dWOFwdXrbBUYqD9DLsoyK,audio_features,spotify:track:0dWOFwdXrbBUYqD9DLsoyK,0.718
32,Brockhampton,694vvR5o19xHPhhJ5QdLN7,0.41,https://api.spotify.com/v1/audio-analysis/694vvR5o19xHPhhJ5QdLN7,0.643,259747,0.573,694vvR5o19xHPhhJ5QdLN7,0.00017,4,0.0695,-7.034,1,0.0709,165.192,4,https://api.spotify.com/v1/tracks/694vvR5o19xHPhhJ5QdLN7,audio_features,spotify:track:694vvR5o19xHPhhJ5QdLN7,0.47
33,Brockhampton,6e7hIhOLH9zvb3zP5O5gt0,0.512,https://api.spotify.com/v1/audio-analysis/6e7hIhOLH9zvb3zP5O5gt0,0.869,142187,0.747,6e7hIhOLH9zvb3zP5O5gt0,0.0,9,0.124,-7.143,1,0.151,124.932,4,https://api.spotify.com/v1/tracks/6e7hIhOLH9zvb3zP5O5gt0,audio_features,spotify:track:6e7hIhOLH9zvb3zP5O5gt0,0.784
34,Brockhampton,1t4pPnbkOjzoA5RvsDjvUU,0.253,https://api.spotify.com/v1/audio-analysis/1t4pPnbkOjzoA5RvsDjvUU,0.811,251250,0.57,1t4pPnbkOjzoA5RvsDjvUU,0.0,5,0.148,-8.093,1,0.129,128.066,4,https://api.spotify.com/v1/tracks/1t4pPnbkOjzoA5RvsDjvUU,audio_features,spotify:track:1t4pPnbkOjzoA5RvsDjvUU,0.814
35,Brockhampton,5bknBRjKJZ643DAN2w8Yoy,0.591,https://api.spotify.com/v1/audio-analysis/5bknBRjKJZ643DAN2w8Yoy,0.945,259000,0.702,5bknBRjKJZ643DAN2w8Yoy,0.000538,11,0.0788,-5.016,0,0.12,119.887,4,https://api.spotify.com/v1/tracks/5bknBRjKJZ643DAN2w8Yoy,audio_features,spotify:track:5bknBRjKJZ643DAN2w8Yoy,0.678
36,Brockhampton,2DgMxFMUQRPthW4ROhjen1,0.543,https://api.spotify.com/v1/audio-analysis/2DgMxFMUQRPthW4ROhjen1,0.718,274274,0.628,2DgMxFMUQRPthW4ROhjen1,0.0,10,0.116,-6.007,0,0.223,92.107,4,https://api.spotify.com/v1/tracks/2DgMxFMUQRPthW4ROhjen1,audio_features,spotify:track:2DgMxFMUQRPthW4ROhjen1,0.722
37,Brockhampton,7HRv1sYuwgoea1m0JRvChV,0.0716,https://api.spotify.com/v1/audio-analysis/7HRv1sYuwgoea1m0JRvChV,0.808,266000,0.647,7HRv1sYuwgoea1m0JRvChV,0.000466,11,0.205,-6.947,0,0.166,110.036,4,https://api.spotify.com/v1/tracks/7HRv1sYuwgoea1m0JRvChV,audio_features,spotify:track:7HRv1sYuwgoea1m0JRvChV,0.29
38,Brockhampton,66dQdXAbtuPdSasezCQVZE,0.847,https://api.spotify.com/v1/audio-analysis/66dQdXAbtuPdSasezCQVZE,0.497,204939,0.55,66dQdXAbtuPdSasezCQVZE,0.049,8,0.119,-6.13,1,0.0257,79.955,4,https://api.spotify.com/v1/tracks/66dQdXAbtuPdSasezCQVZE,audio_features,spotify:track:66dQdXAbtuPdSasezCQVZE,0.542
39,Brockhampton,4O9tOyMOq8Oioun2MsULH5,0.194,https://api.spotify.com/v1/audio-analysis/4O9tOyMOq8Oioun2MsULH5,0.672,213659,0.452,4O9tOyMOq8Oioun2MsULH5,0.0,0,0.251,-7.947,1,0.0738,82.012,4,https://api.spotify.com/v1/tracks/4O9tOyMOq8Oioun2MsULH5,audio_features,spotify:track:4O9tOyMOq8Oioun2MsULH5,0.514
40,DUKI,57kdZIOAaolxAjB67d2yU3,0.186,https://api.spotify.com/v1/audio-analysis/57kdZIOAaolxAjB67d2yU3,0.473,164458,0.779,57kdZIOAaolxAjB67d2yU3,0.0,1,0.189,-3.725,1,0.0414,108.287,3,https://api.spotify.com/v1/tracks/57kdZIOAaolxAjB67d2yU3,audio_features,spotify:track:57kdZIOAaolxAjB67d2yU3,0.438
