artist,energy,danceability,valence,instrumentalness,acousticness,speechiness,tempo,loudness
Feli Colina,0.3484,0.4728,0.2942,0.1319647,0.48410000000000003,0.054849999999999996,109.6279,-13.7584
Florian,0.4686666666666666,0.6853333333333333,0.6446666666666666,0.006730433333333333,0.27095,0.06086666666666667,121.07283333333334,-8.587666666666667
Fuego,0.6472,0.7811999999999999,0.4843,9.837e-05,0.16342600000000002,0.09107,129.1994,-6.7476
Ghetto Kids,0.8108000000000001,0.7256999999999999,0.5589000000000001,0.12050034000000001,0.061847700000000005,0.09625000000000002,137.5167,-3.9415
Girl Ultra,0.4478,0.7354,0.5932999999999999,0.000163719,0.5588,0.10244,109.77550000000001,-10.1204
Goldfish,0.7375999999999999,0.6732,0.4665,0.11127423300000001,0.037416000000000005,0.06294999999999999,119.2144,-6.652800000000001
Guns N’ Roses,0.7632,0.38239999999999996,0.3587,0.14621369999999997,0.094948,0.059739999999999994,124.917,-8.540499999999998
Gwen Stefani,0.8069000000000001,0.7115,0.7024,0.00022059100000000002,0.09619899999999999,0.054000000000000006,117.01950000000002,-4.134500000000001
Hayley Kiyoko,0.7119,0.651,0.47939999999999994,0.0037182590000000002,0.13326900000000003,0.07421999999999998,120.57910000000001,-5.091300000000001
ILLENIUM,0.7073999999999999,0.5547,0.3428,0.018174606000000003,0.160792,0.04983,124.19249999999997,-4.841799999999999
Idles,0.9057999999999999,0.3745,0.3206,0.001092867,0.0016834000000000003,0.08854999999999999,144.6752,-5.166099999999999
J mena,0.6873000000000001,0.8058,0.7031000000000001,0.000113078,0.12115000000000001,0.14919000000000002,145.2183,-4.797700000000001
Jaden Smith,0.732,0.5623,0.2859,0.047079541,0.16974000000000003,0.13528,118.98389999999999,-5.830399999999999
James Blake,0.4508,0.5992000000000001,0.20181,0.13486892,0.5786813000000001,0.16442,124.70629999999998,-9.462299999999999
Kacey Musgraves,0.4511,0.5654000000000001,0.3693,0.001928525,0.5226700000000001,0.031819999999999994,126.6849,-8.0442
Kali Uchis,0.6517,0.6521000000000001,0.5511,0.019983455,0.26874,0.11794999999999997,105.93529999999998,-6.4393
Kaydy Cain,0.6544999999999999,0.7699,0.7053,0.0001395,0.351579,0.13455,125.1063,-6.486
King Princess,0.5861,0.5932999999999999,0.4486,0.00119421,0.3696,0.10812,123.30050000000001,-6.748599999999999
LIMON,0.7182000000000001,0.5212000000000001,0.3701,0.11387032700000002,0.01005659,0.03483000000000001,115.46240000000003,-6.8222000000000005
LP,0.642,0.5449,0.3666,0.0005783069999999999,0.23824600000000004,0.045649999999999996,126.00819999999999,-6.7711
La Delio Valdez,0.7229000000000001,0.6780999999999999,0.8285,3.966300000000001e-05,0.41000000000000003,0.08784,115.03989999999999,-4.2529
Lana del Rey,0.41800000000000004,0.4641,0.2339,0.066619317,0.601707,0.04559,98.8961,-10.375900000000001
Las Ligas Menores,0.7964,0.3826,0.5447,0.15046325,0.04997324000000001,0.04284999999999999,147.26979999999998,-6.0849
Lauv,0.5217,0.7011000000000001,0.4149,1.004e-06,0.312525,0.14279999999999998,113.39089999999999,-7.5834
Litto Nebbia,0.48740000000000006,0.48789999999999994,0.4157,0.00026152900000000004,0.6188999999999999,0.07612000000000001,119.93139999999998,-9.4462
Los Fabulosos Cadillacs,0.7631000000000001,0.6917,0.8163,0.005206087,0.15750200000000003,0.05997999999999999,115.3477,-5.374999999999999
Louly,0.47300000000000003,0.785,0.39166666666666666,0.0003726666666666667,0.37866666666666665,0.12150000000000001,133.31533333333334,-7.735333333333333
Louta,0.6899,0.7195,0.625,0.000171057,0.29475999999999997,0.08652,119.14769999999999,-4.6523
Lucia Tacchetti,0.5358,0.6493,0.4584,0.215568503,0.56282,0.0454,122.99740000000001,-7.9521
MIKA,0.7078,0.6620999999999999,0.6203,0.00260383,0.13807,0.04648,116.23870000000002,-5.9597999999999995
Madeon,0.7404000000000001,0.48180000000000006,0.379,0.070141857,0.023818,0.06671999999999999,123.49660000000002,-5.1681
Martin Garrix,0.6256000000000002,0.5256000000000001,0.2674,1.1217000000000001e-05,0.17685,0.0422,126.29420000000002,-6.271599999999999
Masego,0.5405,0.7329000000000001,0.43929999999999997,0.10191365599999999,0.4001,0.17721,114.096,-7.6988
Maye,0.6433333333333334,0.6093333333333333,0.6736666666666667,0.004166666666666667,0.4406666666666667,0.03603333333333333,112.99166666666667,-7.356999999999999
Miranda Johansen,0.43687499999999996,0.549875,0.2354875,0.130499875,0.29400000000000004,0.034825,93.53737499999998,-12.463000000000001
Ms Nina,0.834,0.7223999999999999,0.6388,0.017793512999999997,0.10002200000000001,0.08857999999999999,113.003,-6.0385
Natalie Perez,0.6418,0.5398,0.673,0.001238069,0.39065000000000005,0.04490999999999999,126.73219999999999,-6.7776
Nathy Peluso,0.42989999999999995,0.5745,0.3629300000000001,0.0007361519999999999,0.35322,0.32717000000000007,95.96489999999999,-8.9268
Pabllo Vittar,0.7701,0.7363,0.6218999999999999,6.9819e-05,0.11596899999999999,0.11159000000000001,139.42450000000002,-5.037400000000001
Paco Leiva,0.37344,0.4774999999999999,0.22858,0.251586,0.6943300000000001,0.035379999999999995,102.86070000000002,-12.689700000000002
Paloma Mami,0.6793333333333335,0.7715,0.446,0.04424283333333334,0.2426666666666667,0.1566833333333333,107.06166666666667,-5.870166666666667
Perry Farrell’s Kind Heaven Orchestra,0.7958000000000001,0.5635999999999999,0.49619999999999986,0.032188153000000004,0.05041810000000001,0.05403999999999999,124.70020000000002,-6.181900000000001
R3HAB,0.7615999999999999,0.6375000000000001,0.4795,0.014568654,0.19913399999999998,0.08429,124.9222,-5.5339
Ratones Paranoicos,0.8318999999999999,0.6440000000000001,0.7288,0.029167,0.18290800000000002,0.04189999999999999,121.09259999999999,-6.272100000000001
Rels B,0.5604000000000001,0.7806000000000001,0.5664,0.008371531,0.3267,0.25401999999999997,133.6746,-7.9488
Rex Orange County,0.48469999999999996,0.5788,0.35469999999999996,0.000922856,0.5700000000000001,0.046979999999999994,125.93389999999997,-8.320400000000001
